author_openalex_id,topic,period_a_from,period_a_to,period_b_from,period_b_to,pubs_a,pubs_b,cites_a,cites_b,label
A5000034016,Petroleum Processing and Analysis,1970,2014,2015,2026,0,1,0,4,Emerging
A5000034016,Rock Mechanics and Modeling,1970,2014,2015,2026,0,1,0,1,Emerging
A5000034016,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,1,0,1,Emerging
A5000047433,"Aging, Elder Care, and Social Issues",1970,2014,2015,2026,1,0,0,0,Declining
A5000047433,Drilling and Well Engineering,1970,2014,2015,2026,1,0,7,0,Declining
A5000047433,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,1,0,7,0,Declining
A5000047433,"Health, Medicine and Society",1970,2014,2015,2026,1,0,0,0,Declining
A5000047433,Hermeneutics and Narrative Identity,1970,2014,2015,2026,1,0,0,0,Declining
A5000047433,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,1,0,7,0,Declining
A5000047433,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,1,0,38,Emerging
A5000047433,NMR spectroscopy and applications,1970,2014,2015,2026,0,1,0,38,Emerging
A5000047433,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,1,0,38,Emerging
A5000056542,Photochemistry and Electron Transfer Studies,1970,2014,2015,2026,0,1,0,96,Emerging
A5000056542,Quantum Dots Synthesis And Properties,1970,2014,2015,2026,0,1,0,96,Emerging
A5000056542,Spectroscopy and Quantum Chemical Studies,1970,2014,2015,2026,0,1,0,96,Emerging
A5000058078,Geophysical and Geoelectrical Methods,1970,2014,2015,2026,0,2,0,2,Emerging
A5000058078,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,1,0,2,Emerging
A5000058078,NMR spectroscopy and applications,1970,2014,2015,2026,0,2,0,2,Emerging
A5000058078,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,1,0,0,Emerging
A5000060200,Ionic liquids properties and applications,1970,2014,2015,2026,0,1,0,2,Emerging
A5000060200,Phase Equilibria and Thermodynamics,1970,2014,2015,2026,0,1,0,2,Emerging
A5000060200,Surfactants and Colloidal Systems,1970,2014,2015,2026,0,1,0,2,Emerging
A5000065926,Geological Studies and Exploration,1970,2014,2015,2026,1,0,28,0,Declining
A5000065926,Geology and Paleoclimatology Research,1970,2014,2015,2026,1,0,28,0,Declining
A5000132468,Asphalt Pavement Performance Evaluation,1970,2014,2015,2026,0,2,0,38,Emerging
A5000132468,Corrosion Behavior and Inhibition,1970,2014,2015,2026,0,1,0,29,Emerging
A5000132468,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,1,0,9,Emerging
A5000132468,Ion-surface interactions and analysis,1970,2014,2015,2026,0,1,0,29,Emerging
A5000132468,Petroleum Processing and Analysis,1970,2014,2015,2026,0,1,0,9,Emerging
A5000162694,Advanced Chemical Physics Studies,1970,2014,2015,2026,1,0,11,0,Declining
A5000162694,Asymmetric Synthesis and Catalysis,1970,2014,2015,2026,1,0,22,0,Declining
A5000162694,Chemical Reaction Mechanisms,1970,2014,2015,2026,1,0,3,0,Declining
A5000162694,N-Heterocyclic Carbenes in Organic and Inorganic Chemistry,1970,2014,2015,2026,1,0,27,0,Declining
A5000162694,Organoboron and organosilicon chemistry,1970,2014,2015,2026,2,0,33,0,Declining
A5000162694,Organophosphorus compounds synthesis,1970,2014,2015,2026,2,0,30,0,Declining
A5000162694,Phosphorus compounds and reactions,1970,2014,2015,2026,1,0,3,0,Declining
A5000162694,Synthesis and characterization of novel inorganic/organometallic compounds,1970,2014,2015,2026,3,0,60,0,Declining
A5000165797,Image and Signal Denoising Methods,1970,2014,2015,2026,0,2,0,35,Emerging
A5000165797,Indoor and Outdoor Localization Technologies,1970,2014,2015,2026,0,1,0,24,Emerging
A5000165797,Microwave Imaging and Scattering Analysis,1970,2014,2015,2026,0,1,0,24,Emerging
A5000165797,Reservoir Engineering and Simulation Methods,1970,2014,2015,2026,0,1,0,0,Emerging
A5000165797,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,3,0,35,Emerging
A5000165797,Seismology and Earthquake Studies,1970,2014,2015,2026,0,2,0,32,Emerging
A5000165797,Sparse and Compressive Sensing Techniques,1970,2014,2015,2026,0,2,0,27,Emerging
A5000178014,Advanced Chemical Physics Studies,1970,2014,2015,2026,1,0,48,0,Declining
A5000178014,Catalysis and Oxidation Reactions,1970,2014,2015,2026,1,0,457,0,Declining
A5000178014,Catalysts for Methane Reforming,1970,2014,2015,2026,2,0,505,0,Declining
A5000178014,Catalytic Processes in Materials Science,1970,2014,2015,2026,2,0,505,0,Declining
A5000180362,Aeolian processes and effects,1970,2014,2015,2026,0,1,0,0,Emerging
A5000180362,CO2 Sequestration and Geologic Interactions,1970,2014,2015,2026,0,5,0,72,Emerging
A5000180362,Drilling and Well Engineering,1970,2014,2015,2026,0,3,0,37,Emerging
A5000180362,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,11,0,135,Emerging
A5000180362,"Grouting, Rheology, and Soil Mechanics",1970,2014,2015,2026,0,1,0,18,Emerging
A5000180362,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,6,0,65,Emerging
A5000180362,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,8,0,88,Emerging
A5000180362,Hydrology and Sediment Transport Processes,1970,2014,2015,2026,0,1,0,0,Emerging
A5000180362,Petroleum Processing and Analysis,1970,2014,2015,2026,0,1,0,25,Emerging
A5000180362,Reservoir Engineering and Simulation Methods,1970,2014,2015,2026,0,1,0,19,Emerging
A5000180362,Soil erosion and sediment transport,1970,2014,2015,2026,0,1,0,0,Emerging
A5000188286,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,1,0,1,0,Declining
A5000188286,Mineral Processing and Grinding,1970,2014,2015,2026,1,0,1,0,Declining
A5000188286,Reservoir Engineering and Simulation Methods,1970,2014,2015,2026,1,0,1,0,Declining
A5000191565,Electronic and Structural Properties of Oxides,1970,2014,2015,2026,0,1,0,53,Emerging
A5000191565,Graphene research and applications,1970,2014,2015,2026,0,1,0,53,Emerging
A5000191565,MXene and MAX Phase Materials,1970,2014,2015,2026,0,1,0,53,Emerging
A5000230700,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,1,0,19,Emerging
A5000230700,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,1,0,19,Emerging
A5000230700,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,1,0,19,Emerging
A5000246036,Cloud Computing and Resource Management,1970,2014,2015,2026,0,1,0,2,Emerging
A5000246036,Quantum Computing Algorithms and Architecture,1970,2014,2015,2026,0,1,0,2,Emerging
A5000246036,Quantum Information and Cryptography,1970,2014,2015,2026,0,1,0,2,Emerging
A5000252179,Atmospheric and Environmental Gas Dynamics,1970,2014,2015,2026,0,2,0,200,Emerging
A5000252179,Geological Studies and Exploration,1970,2014,2015,2026,0,1,0,0,Emerging
A5000252179,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,2,0,200,Emerging
A5000252179,Methane Hydrates and Related Phenomena,1970,2014,2015,2026,0,1,0,200,Emerging
A5000274935,earthquake and tectonic studies,1970,2014,2015,2026,0,4,0,134,Emerging
A5000274935,Geological and Geochemical Analysis,1970,2014,2015,2026,0,1,0,37,Emerging
A5000274935,Geophysics and Sensor Technology,1970,2014,2015,2026,0,1,0,0,Emerging
A5000274935,High-pressure geophysics and materials,1970,2014,2015,2026,0,3,0,134,Emerging
A5000274935,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,2,0,0,Emerging
A5000274935,Seismic Waves and Analysis,1970,2014,2015,2026,0,3,0,97,Emerging
A5000274935,Seismology and Earthquake Studies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000287886,Drilling and Well Engineering,1970,2014,2015,2026,0,1,0,18,Emerging
A5000287886,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,1,0,14,Emerging
A5000287886,Oil and Gas Production Techniques,1970,2014,2015,2026,0,2,0,32,Emerging
A5000287886,Reservoir Engineering and Simulation Methods,1970,2014,2015,2026,0,2,0,32,Emerging
A5000304579,Advancements in Solid Oxide Fuel Cells,1970,2014,2015,2026,0,1,0,18,Emerging
A5000304579,Electronic and Structural Properties of Oxides,1970,2014,2015,2026,0,1,0,18,Emerging
A5000304579,Magnetic and transport properties of perovskites and related materials,1970,2014,2015,2026,0,1,0,18,Emerging
A5000313601,African Botany and Ecology Studies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000313601,Soil erosion and sediment transport,1970,2014,2015,2026,0,1,0,0,Emerging
A5000315107,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,1,0,7,Emerging
A5000315107,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,1,0,7,Emerging
A5000315107,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,1,0,7,Emerging
A5000321068,African Botany and Ecology Studies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000321068,Climate variability and models,1970,2014,2015,2026,0,1,0,25,Emerging
A5000321068,Coastal wetland ecosystem dynamics,1970,2014,2015,2026,0,2,0,11,Emerging
A5000321068,Geochemistry and Geologic Mapping,1970,2014,2015,2026,0,1,0,25,Emerging
A5000321068,Geological and Geophysical Studies Worldwide,1970,2014,2015,2026,0,1,0,1,Emerging
A5000321068,Geological formations and processes,1970,2014,2015,2026,0,1,0,11,Emerging
A5000321068,Geology and Paleoclimatology Research,1970,2014,2015,2026,0,3,0,36,Emerging
A5000321068,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,1,0,0,Emerging
A5000321068,Peatlands and Wetlands Ecology,1970,2014,2015,2026,0,1,0,0,Emerging
A5000321068,Science and Climate Studies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000321068,Scientific Research and Discoveries,1970,2014,2015,2026,0,1,0,0,Emerging
A5000321068,Soil erosion and sediment transport,1970,2014,2015,2026,0,1,0,0,Emerging
A5000321068,Tree-ring climate responses,1970,2014,2015,2026,0,1,0,0,Emerging
A5000330292,Chemistry and Chemical Engineering,1970,2014,2015,2026,0,1,0,70,Emerging
A5000330292,Innovative Microfluidic and Catalytic Techniques Innovation,1970,2014,2015,2026,0,1,0,70,Emerging
A5000330292,Various Chemistry Research Topics,1970,2014,2015,2026,0,1,0,70,Emerging
A5000345697,earthquake and tectonic studies,1970,2014,2015,2026,0,1,0,9,Emerging
A5000345697,Geochemistry and Geologic Mapping,1970,2014,2015,2026,0,1,0,9,Emerging
A5000345697,Geological and Geochemical Analysis,1970,2014,2015,2026,0,1,0,9,Emerging
A5000350410,Coral and Marine Ecosystems Studies,1970,2014,2015,2026,0,1,0,9,Emerging
A5000350410,Marine and fisheries research,1970,2014,2015,2026,0,1,0,9,Emerging
A5000350410,Marine Biology and Ecology Research,1970,2014,2015,2026,0,1,0,9,Emerging
A5000353919,Geological and Geophysical Studies Worldwide,1970,2014,2015,2026,0,1,0,2,Emerging
A5000353919,Geological and Tectonic Studies in Latin America,1970,2014,2015,2026,0,1,0,2,Emerging
A5000390428,"Cancer, Hypoxia, and Metabolism",1970,2014,2015,2026,1,0,10,0,Declining
A5000390428,Hemoglobin structure and function,1970,2014,2015,2026,1,0,10,0,Declining
A5000390428,Mass Spectrometry Techniques and Applications,1970,2014,2015,2026,1,0,10,0,Declining
A5000407460,Electrokinetic Soil Remediation Techniques,1970,2014,2015,2026,0,1,0,0,Emerging
A5000407460,Geophysical and Geoelectrical Methods,1970,2014,2015,2026,0,1,0,0,Emerging
A5000407460,"Graphite, nuclear technology, radiation studies",1970,2014,2015,2026,0,1,0,0,Emerging
A5000407460,Microbial Community Ecology and Physiology,1970,2014,2015,2026,0,1,0,14,Emerging
A5000407460,Microbial Fuel Cells and Bioremediation,1970,2014,2015,2026,0,2,0,14,Emerging
A5000407460,Radiation Detection and Scintillator Technologies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000407460,Radioactive element chemistry and processing,1970,2014,2015,2026,0,1,0,14,Emerging
A5000407460,Radioactivity and Radon Measurements,1970,2014,2015,2026,0,1,0,0,Emerging
A5000407460,Water Quality Monitoring and Analysis,1970,2014,2015,2026,0,1,0,0,Emerging
A5000426778,Geophysics and Sensor Technology,1970,2014,2015,2026,0,2,0,0,Emerging
A5000426778,Seismic Waves and Analysis,1970,2014,2015,2026,0,2,0,0,Emerging
A5000426778,Seismology and Earthquake Studies,1970,2014,2015,2026,0,2,0,0,Emerging
A5000428018,Carbon Dioxide Capture Technologies,1970,2014,2015,2026,0,2,0,392,Emerging
A5000428018,CO2 Sequestration and Geologic Interactions,1970,2014,2015,2026,0,4,0,434,Emerging
A5000428018,Drilling and Well Engineering,1970,2014,2015,2026,0,4,0,88,Emerging
A5000428018,Energy and Environment Impacts,1970,2014,2015,2026,0,1,0,4,Emerging
A5000428018,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,3,0,30,Emerging
A5000428018,Geothermal Energy Systems and Applications,1970,2014,2015,2026,0,1,0,46,Emerging
A5000428018,Global Energy and Sustainability Research,1970,2014,2015,2026,0,1,0,4,Emerging
A5000428018,Groundwater flow and contamination studies,1970,2014,2015,2026,0,1,0,33,Emerging
A5000428018,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,7,0,138,Emerging
A5000428018,Integrated Energy Systems Optimization,1970,2014,2015,2026,0,1,0,4,Emerging
A5000428018,Methane Hydrates and Related Phenomena,1970,2014,2015,2026,0,1,0,346,Emerging
A5000428018,Reservoir Engineering and Simulation Methods,1970,2014,2015,2026,0,1,0,8,Emerging
A5000428018,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,1,0,7,Emerging
A5000428018,Tunneling and Rock Mechanics,1970,2014,2015,2026,0,2,0,68,Emerging
A5000459005,CO2 Sequestration and Geologic Interactions,1970,2014,2015,2026,0,1,0,5,Emerging
A5000459005,Drilling and Well Engineering,1970,2014,2015,2026,0,1,0,6,Emerging
A5000459005,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,3,0,16,Emerging
A5000459005,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,1,0,6,Emerging
A5000459005,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,2,0,10,Emerging
A5000459005,Petroleum Processing and Analysis,1970,2014,2015,2026,0,1,0,5,Emerging
A5000469473,Advanced Numerical Methods in Computational Mathematics,1970,2014,2015,2026,0,1,0,10,Emerging
A5000469473,Computational Fluid Dynamics and Aerodynamics,1970,2014,2015,2026,0,1,0,10,Emerging
A5000469473,Numerical methods for differential equations,1970,2014,2015,2026,0,1,0,10,Emerging
A5000479154,Composite Structure Analysis and Optimization,1970,2014,2015,2026,0,1,0,9,Emerging
A5000479154,Probabilistic and Robust Engineering Design,1970,2014,2015,2026,0,1,0,9,Emerging
A5000479154,Structural Health Monitoring Techniques,1970,2014,2015,2026,0,1,0,9,Emerging
A5000479314,Electrowetting and Microfluidic Technologies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000479314,Optical and Acousto-Optic Technologies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000480515,Advanced Chemical Physics Studies,1970,2014,2015,2026,2,0,35,0,Declining
A5000480515,Crystallization and Solubility Studies,1970,2014,2015,2026,2,1,0,0,Declining
A5000480515,Organic Chemistry Cycloaddition Reactions,1970,2014,2015,2026,1,0,19,0,Declining
A5000480515,Photochemistry and Electron Transfer Studies,1970,2014,2015,2026,2,0,35,0,Declining
A5000480515,Radical Photochemical Reactions,1970,2014,2015,2026,1,0,16,0,Declining
A5000480515,X-ray Diffraction in Crystallography,1970,2014,2015,2026,2,1,0,0,Declining
A5000500773,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,1,0,0,Emerging
A5000500773,Seismic Waves and Analysis,1970,2014,2015,2026,0,1,0,0,Emerging
A5000500773,Seismology and Earthquake Studies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000504868,CO2 Sequestration and Geologic Interactions,1970,2014,2015,2026,0,2,0,0,Emerging
A5000504868,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,1,0,0,Emerging
A5000504868,Geothermal Energy Systems and Applications,1970,2014,2015,2026,0,1,0,0,Emerging
A5000504868,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,1,0,0,Emerging
A5000504868,Methane Hydrates and Related Phenomena,1970,2014,2015,2026,0,1,0,0,Emerging
A5000509276,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,1,0,0,Emerging
A5000509276,Geophysical and Geoelectrical Methods,1970,2014,2015,2026,0,1,0,0,Emerging
A5000509276,NMR spectroscopy and applications,1970,2014,2015,2026,0,1,0,0,Emerging
A5000533004,Advanced oxidation water treatment,1970,2014,2015,2026,0,1,0,28,Emerging
A5000533004,Calcium Carbonate Crystallization and Inhibition,1970,2014,2015,2026,0,4,0,51,Emerging
A5000533004,Chemical and Physical Properties in Aqueous Solutions,1970,2014,2015,2026,0,2,0,58,Emerging
A5000533004,Crystallization and Solubility Studies,1970,2014,2015,2026,0,1,0,15,Emerging
A5000533004,Electrochemical Analysis and Applications,1970,2014,2015,2026,0,1,0,33,Emerging
A5000533004,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,1,0,4,Emerging
A5000533004,Extraction and Separation Processes,1970,2014,2015,2026,0,1,0,7,Emerging
A5000533004,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,1,0,16,Emerging
A5000533004,Industrial Gas Emission Control,1970,2014,2015,2026,0,1,0,28,Emerging
A5000533004,Mine drainage and remediation techniques,1970,2014,2015,2026,0,1,0,16,Emerging
A5000533004,Minerals Flotation and Separation Techniques,1970,2014,2015,2026,0,4,0,42,Emerging
A5000533004,"Oil, Gas, and Environmental Issues",1970,2014,2015,2026,0,1,0,28,Emerging
A5000533004,Spectroscopy and Quantum Chemical Studies,1970,2014,2015,2026,0,1,0,33,Emerging
A5000533004,Thermal and Kinetic Analysis,1970,2014,2015,2026,0,1,0,25,Emerging
A5000536603,Aeolian processes and effects,1970,2014,2015,2026,1,0,0,0,Declining
A5000536603,Biocrusts and Microbial Ecology,1970,2014,2015,2026,1,0,0,0,Declining
A5000536603,Geology and Paleoclimatology Research,1970,2014,2015,2026,1,0,0,0,Declining
A5000537987,Analytical Chemistry and Sensors,1970,2014,2015,2026,0,1,0,17,Emerging
A5000537987,Membrane Separation Technologies,1970,2014,2015,2026,0,2,0,61,Emerging
A5000537987,Surface Modification and Superhydrophobicity,1970,2014,2015,2026,0,1,0,44,Emerging
A5000537987,Water Quality Monitoring Technologies,1970,2014,2015,2026,0,2,0,61,Emerging
A5000562975,Groundwater flow and contamination studies,1970,2014,2015,2026,0,1,0,1,Emerging
A5000562975,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,1,0,1,Emerging
A5000562975,Rock Mechanics and Modeling,1970,2014,2015,2026,0,1,0,1,Emerging
A5000566203,Perovskite Materials and Applications,1970,2014,2015,2026,0,2,0,92,Emerging
A5000566203,Quantum Dots Synthesis And Properties,1970,2014,2015,2026,0,2,0,92,Emerging
A5000566203,ZnO doping and properties,1970,2014,2015,2026,0,1,0,74,Emerging
A5000572954,Coal Properties and Utilization,1970,2014,2015,2026,0,1,0,78,Emerging
A5000572954,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,1,0,78,Emerging
A5000572954,Rock Mechanics and Modeling,1970,2014,2015,2026,0,1,0,78,Emerging
A5000575769,Atomic and Molecular Physics,1970,2014,2015,2026,1,0,44,0,Declining
A5000575769,Laser-induced spectroscopy and plasma,1970,2014,2015,2026,1,0,44,0,Declining
A5000575769,Magnetic confinement fusion research,1970,2014,2015,2026,1,0,44,0,Declining
A5000577808,Asymmetric Synthesis and Catalysis,1970,2014,2015,2026,0,1,0,30,Emerging
A5000577808,Organic Chemistry Cycloaddition Reactions,1970,2014,2015,2026,0,1,0,30,Emerging
A5000577808,Radical Photochemical Reactions,1970,2014,2015,2026,0,1,0,30,Emerging
A5000594461,Building materials and conservation,1970,2014,2015,2026,0,1,0,6,Emerging
A5000594461,earthquake and tectonic studies,1970,2014,2015,2026,0,4,0,39,Emerging
A5000594461,Earthquake Detection and Analysis,1970,2014,2015,2026,0,2,0,0,Emerging
A5000594461,Geological and Geochemical Analysis,1970,2014,2015,2026,0,2,0,39,Emerging
A5000594461,Geology and Paleoclimatology Research,1970,2014,2015,2026,0,1,0,33,Emerging
A5000594461,Seismology and Earthquake Studies,1970,2014,2015,2026,0,2,0,0,Emerging
A5000595449,High-pressure geophysics and materials,1970,2014,2015,2026,0,1,0,0,Emerging
A5000595449,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,1,0,0,Emerging
A5000595449,Seismic Waves and Analysis,1970,2014,2015,2026,0,1,0,0,Emerging
A5000601328,Geological formations and processes,1970,2014,2015,2026,0,1,0,6,Emerging
A5000601328,Geology and Paleoclimatology Research,1970,2014,2015,2026,0,1,0,6,Emerging
A5000601328,Paleontology and Stratigraphy of Fossils,1970,2014,2015,2026,0,1,0,6,Emerging
A5000609490,CO2 Sequestration and Geologic Interactions,1970,2014,2015,2026,0,1,0,24,Emerging
A5000609490,NMR spectroscopy and applications,1970,2014,2015,2026,0,1,0,24,Emerging
A5000609490,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,1,0,24,Emerging
A5000619933,2D Materials and Applications,1970,2014,2015,2026,0,1,0,894,Emerging
A5000619933,Perovskite Materials and Applications,1970,2014,2015,2026,0,1,0,894,Emerging
A5000619933,Quantum Dots Synthesis And Properties,1970,2014,2015,2026,0,1,0,894,Emerging
A5000632458,Seismic Imaging and Inversion Techniques,1970,2014,2015,2026,0,1,0,13,Emerging
A5000632458,Seismic Waves and Analysis,1970,2014,2015,2026,0,1,0,13,Emerging
A5000643232,Groundwater and Isotope Geochemistry,1970,2014,2015,2026,0,1,0,9,Emerging
A5000643232,Marine and coastal ecosystems,1970,2014,2015,2026,0,1,0,9,Emerging
A5000643232,Soil and Water Nutrient Dynamics,1970,2014,2015,2026,0,1,0,9,Emerging
A5000651430,earthquake and tectonic studies,1970,2014,2015,2026,0,1,0,31,Emerging
A5000651430,Geochemistry and Elemental Analysis,1970,2014,2015,2026,0,1,0,1,Emerging
A5000651430,Geochemistry and Geologic Mapping,1970,2014,2015,2026,0,2,0,4,Emerging
A5000651430,Geological and Geochemical Analysis,1970,2014,2015,2026,0,3,0,35,Emerging
A5000651430,High-pressure geophysics and materials,1970,2014,2015,2026,0,2,0,34,Emerging
A5000652973,earthquake and tectonic studies,1970,2014,2015,2026,0,1,0,2,Emerging
A5000652973,High-pressure geophysics and materials,1970,2014,2015,2026,0,1,0,2,Emerging
A5000652973,Seismic Waves and Analysis,1970,2014,2015,2026,0,1,0,2,Emerging
A5000701325,Atmospheric and Environmental Gas Dynamics,1970,2014,2015,2026,0,1,0,24,Emerging
A5000701325,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,1,0,24,Emerging
A5000701325,Methane Hydrates and Related Phenomena,1970,2014,2015,2026,0,1,0,24,Emerging
A5000705748,Geophysical Methods and Applications,1970,2014,2015,2026,0,1,0,1,Emerging
A5000705748,Karst Systems and Hydrogeology,1970,2014,2015,2026,0,1,0,1,Emerging
A5000705748,Landslides and related hazards,1970,2014,2015,2026,0,1,0,1,Emerging
A5000719134,Astronomical Observations and Instrumentation,1970,2014,2015,2026,1,0,0,0,Declining
A5000719134,Research Data Management Practices,1970,2014,2015,2026,1,0,0,0,Declining
A5000730708,Advanced Photocatalysis Techniques,1970,2014,2015,2026,0,1,0,27,Emerging
A5000730708,Ammonia Synthesis and Nitrogen Reduction,1970,2014,2015,2026,0,1,0,27,Emerging
A5000730708,Caching and Content Delivery,1970,2014,2015,2026,0,1,0,27,Emerging
A5000730708,Drilling and Well Engineering,1970,2014,2015,2026,0,4,0,30,Emerging
A5000730708,Electrowetting and Microfluidic Technologies,1970,2014,2015,2026,0,1,0,0,Emerging
A5000730708,Enhanced Oil Recovery Techniques,1970,2014,2015,2026,0,35,0,435,Emerging
A5000730708,Geophysical and Geoelectrical Methods,1970,2014,2015,2026,0,4,0,45,Emerging
A5000730708,Geothermal Energy Systems and Applications,1970,2014,2015,2026,0,1,0,5,Emerging
A5000730708,Groundwater flow and contamination studies,1970,2014,2015,2026,0,1,0,13,Emerging
A5000730708,Hydraulic Fracturing and Reservoir Analysis,1970,2014,2015,2026,0,19,0,267,Emerging
A5000730708,Hydrocarbon exploration and reservoir analysis,1970,2014,2015,2026,0,18,0,200,Emerging
A5000730708,Innovative Microfluidic and Catalytic Techniques Innovation,1970,2014,2015,2026,0,1,0,6,Emerging
A5000730708,Lattice Boltzmann Simulation Studies,1970,2014,2015,2026,0,1,0,2,Emerging
A5000730708,Methane Hydrates and Related Phenomena,1970,2014,2015,2026,0,1,0,0,Emerging
A5000730708,Microfluidic and Capillary Electrophoresis Applications,1970,2014,2015,2026,0,1,0,6,Emerging
A5000730708,NMR spectroscopy and applications,1970,2014,2015,2026,0,1,0,1,Emerging
A5000730708,Oil Spill Detection and Mitigation,1970,2014,2015,2026,0,1,0,0,Emerging
A5000730708,Petroleum Processing and Analysis,1970,2014,2015,2026,0,6,0,87,Emerging
A5000730708,Pickering emulsions and particle stabilization,1970,2014,2015,2026,0,1,0,13,Emerging
A5000730708,Reservoir Engineering and Simulation Methods,1970,2014,2015,2026,0,12,0,198,Emerging
A5000730708,Solar Thermal and Photovoltaic Systems,1970,2014,2015,2026,0,1,0,5,Emerging
A5000730708,Solar-Powered Water Purification Methods,1970,2014,2015,2026,0,1,0,5,Emerging
