topic,year,pubs,cites
Advanced battery technologies research,2023,1,24
Advanced battery technologies research,2024,1,2
Advanced battery technologies research,2025,1,3
Advanced Battery Technologies Research,2011,1,40
Advanced Battery Technologies Research,2023,1,1
Advanced Battery Technologies Research,2025,1,6
Advanced biosensing and bioanalysis techniques,2018,1,74
Advanced biosensing and bioanalysis techniques,2019,1,268
Advanced biosensing and bioanalysis techniques,2023,1,0
Advanced biosensing and bioanalysis techniques,2024,1,8
Advanced biosensing and bioanalysis techniques,2025,5,13
Advanced Biosensing Techniques and Applications,2004,1,24
Advanced Cellulose Research Studies,2012,1,17
Advanced Cellulose Research Studies,2019,1,58
Advanced Cellulose Research Studies,2022,1,35
Advanced Cellulose Research Studies,2025,1,0
Advanced ceramic materials synthesis,2015,1,0
Advanced ceramic materials synthesis,2019,1,12
Advanced ceramic materials synthesis,2023,1,15
Advanced ceramic materials synthesis,2024,1,1
Advanced ceramic materials synthesis,2025,2,2
Advanced Chemical Physics Studies,1984,1,4
Advanced Chemical Physics Studies,1996,1,26
Advanced Chemical Physics Studies,1997,1,7
Advanced Chemical Physics Studies,1998,1,24
Advanced Chemical Physics Studies,1999,2,36
Advanced Chemical Physics Studies,2000,2,9
Advanced Chemical Physics Studies,2001,3,68
Advanced Chemical Physics Studies,2002,4,184
Advanced Chemical Physics Studies,2003,4,40
Advanced Chemical Physics Studies,2004,1,0
Advanced Chemical Physics Studies,2005,6,1640
Advanced Chemical Physics Studies,2006,9,199
Advanced Chemical Physics Studies,2007,5,109
Advanced Chemical Physics Studies,2008,4,82
Advanced Chemical Physics Studies,2009,5,79
Advanced Chemical Physics Studies,2010,4,82
Advanced Chemical Physics Studies,2011,2,22
Advanced Chemical Physics Studies,2012,4,80
Advanced Chemical Physics Studies,2013,4,51
Advanced Chemical Physics Studies,2014,3,36
Advanced Chemical Physics Studies,2015,1,39
Advanced Chemical Physics Studies,2016,6,128
Advanced Chemical Physics Studies,2017,3,34
Advanced Chemical Physics Studies,2018,8,90
Advanced Chemical Physics Studies,2019,2,11
Advanced Chemical Physics Studies,2020,2,43
Advanced Chemical Physics Studies,2021,1,8
Advanced Chemical Physics Studies,2022,1,6
Advanced Chemical Physics Studies,2023,5,7
Advanced Chemical Physics Studies,2024,3,21
Advanced Chemical Physics Studies,2025,1,2
Advanced Chemical Sensor Technologies,1996,1,12
Advanced Chemical Sensor Technologies,2010,1,17
Advanced Chemical Sensor Technologies,2014,1,41
Advanced Chemical Sensor Technologies,2015,2,1
Advanced Chemical Sensor Technologies,2018,1,0
Advanced Chemical Sensor Technologies,2023,1,6
Advanced Clustering Algorithms Research,2011,2,6
Advanced Clustering Algorithms Research,2012,1,9
Advanced Combustion Engine Technologies,2024,1,5
Advanced Computational Techniques and Applications,2009,1,0
Advanced Computational Techniques and Applications,2011,1,9
Advanced Computational Techniques and Applications,2023,1,1
Advanced Condensed Matter Physics,2015,1,32
Advanced Condensed Matter Physics,2018,2,133
Advanced Condensed Matter Physics,2019,2,36
Advanced Condensed Matter Physics,2021,1,1
Advanced Condensed Matter Physics,2022,1,19
Advanced Condensed Matter Physics,2024,1,3
Advanced Condensed Matter Physics,2025,1,0
Advanced Condensed Matter Physics,2026,1,0
Advanced Control Systems Optimization,2010,1,3
Advanced Control Systems Optimization,2012,1,2
Advanced Control Systems Optimization,2020,1,3
Advanced Control Systems Optimization,2023,1,0
Advanced Control Systems Optimization,2024,3,3
Advanced Control Systems Optimization,2025,1,7
Advanced Data Processing Techniques,2014,1,0
Advanced Data Processing Techniques,2020,2,6
Advanced Data Processing Techniques,2021,1,0
Advanced Data Processing Techniques,2022,1,1
Advanced Data Processing Techniques,2024,2,1
Advanced Database Systems and Queries,2011,1,0
Advanced Database Systems and Queries,2017,3,0
Advanced DC-DC Converters,2011,1,0
Advanced DC-DC Converters,2024,1,4
Advanced Drug Delivery Systems,2000,1,0
Advanced Drug Delivery Systems,2021,1,30
Advanced Electron Microscopy Techniques and Applications,2011,1,18
Advanced Electron Microscopy Techniques and Applications,2018,1,0
Advanced Electron Microscopy Techniques and Applications,2019,1,33
Advanced Electron Microscopy Techniques and Applications,2020,1,19
Advanced Electron Microscopy Techniques and Applications,2023,1,0
Advanced Electron Microscopy Techniques and Applications,2025,1,5
Advanced Fiber Optic Sensors,2018,1,0
Advanced Fiber Optic Sensors,2019,1,1
Advanced Fiber Optic Sensors,2022,1,0
Advanced Fiber Optic Sensors,2023,1,9
Advanced Fiber Optic Sensors,2025,1,0
Advanced Fluorescence Microscopy Techniques,2006,1,28
Advanced Fluorescence Microscopy Techniques,2009,1,16
Advanced Fluorescence Microscopy Techniques,2020,1,0
Advanced Frequency and Time Standards,2013,1,0
Advanced Image and Video Retrieval Techniques,2023,1,1
Advanced Image Fusion Techniques,2017,1,0
Advanced Image Fusion Techniques,2023,1,5
Advanced Image Processing Techniques,2021,1,0
Advanced Image Processing Techniques,2022,1,8
Advanced Image Processing Techniques,2023,1,9
Advanced machining processes and optimization,2014,1,1
Advanced machining processes and optimization,2017,1,0
Advanced machining processes and optimization,2018,1,0
Advanced machining processes and optimization,2019,2,62
Advanced machining processes and optimization,2020,1,18
Advanced machining processes and optimization,2022,1,10
Advanced machining processes and optimization,2023,2,12
Advanced machining processes and optimization,2024,1,1
Advanced machining processes and optimization,2025,2,0
Advanced Malware Detection Techniques,2025,3,0
Advanced Manufacturing and Logistics Optimization,1986,2,75
Advanced Manufacturing and Logistics Optimization,2011,1,0
Advanced Manufacturing and Logistics Optimization,2012,1,2
Advanced materials and composites,2016,2,34
Advanced materials and composites,2020,1,30
Advanced materials and composites,2021,2,38
Advanced materials and composites,2024,2,10
Advanced materials and composites,2025,2,1
Advanced Materials and Mechanics,1982,1,12
Advanced Materials Characterization Techniques,2006,1,12
Advanced Materials Characterization Techniques,2024,2,2
Advanced Materials Characterization Techniques,2025,1,0
Advanced Mathematical Modeling in Engineering,1997,1,0
Advanced Mathematical Modeling in Engineering,2013,1,72
Advanced Mathematical Modeling in Engineering,2014,2,48
Advanced Mathematical Modeling in Engineering,2015,1,1
Advanced Mathematical Modeling in Engineering,2016,3,32
Advanced Mathematical Modeling in Engineering,2017,1,0
Advanced Mathematical Modeling in Engineering,2018,1,0
Advanced Mathematical Modeling in Engineering,2019,2,40
Advanced Mathematical Modeling in Engineering,2020,2,9
Advanced Mathematical Modeling in Engineering,2021,2,6
Advanced Mathematical Modeling in Engineering,2022,3,20
Advanced Mathematical Modeling in Engineering,2023,2,3
Advanced Mathematical Modeling in Engineering,2024,2,0
Advanced Mathematical Modeling in Engineering,2025,4,1
Advanced Mathematical Modeling in Engineering,2026,1,0
Advanced Mathematical Physics Problems,2025,1,1
Advanced Mathematical Theories,2022,1,0
Advanced Mathematical Theories and Applications,1997,1,0
Advanced Measurement and Detection Methods,2015,1,0
Advanced Measurement and Detection Methods,2017,1,41
Advanced Measurement and Detection Methods,2024,1,0
Advanced Memory and Neural Computing,2018,2,24
Advanced Memory and Neural Computing,2022,1,41
Advanced MEMS and NEMS Technologies,2016,1,16
Advanced MEMS and NEMS Technologies,2018,2,1
Advanced MIMO Systems Optimization,2013,1,1
Advanced MIMO Systems Optimization,2023,1,1
Advanced MIMO Systems Optimization,2024,3,7
Advanced MIMO Systems Optimization,2025,1,1
Advanced MIMO Systems Optimization,2026,1,0
Advanced MRI Techniques and Applications,2016,1,4
Advanced MRI Techniques and Applications,2017,1,17
Advanced MRI Techniques and Applications,2019,1,70
Advanced Multi-Objective Optimization Algorithms,2011,1,15
Advanced Multi-Objective Optimization Algorithms,2013,1,1
Advanced Multi-Objective Optimization Algorithms,2014,1,9
Advanced Multi-Objective Optimization Algorithms,2015,2,88
Advanced Multi-Objective Optimization Algorithms,2016,1,3
Advanced Multi-Objective Optimization Algorithms,2018,1,0
Advanced Multi-Objective Optimization Algorithms,2020,1,4
Advanced Nanomaterials in Catalysis,2018,1,91
Advanced Nanomaterials in Catalysis,2024,1,1
Advanced Nanomaterials in Catalysis,2025,4,8
Advanced Neural Network Applications,2022,1,27
Advanced Neuroimaging Techniques and Applications,2020,1,35
Advanced Neuroimaging Techniques and Applications,2022,2,12
Advanced NMR Techniques and Applications,2015,1,0
Advanced NMR Techniques and Applications,2017,1,3
Advanced NMR Techniques and Applications,2020,2,83
Advanced NMR Techniques and Applications,2022,1,13
Advanced NMR Techniques and Applications,2023,3,0
Advanced NMR Techniques and Applications,2024,1,4
Advanced Numerical Analysis Techniques,2017,2,0
Advanced Numerical Analysis Techniques,2018,2,4
Advanced Numerical Analysis Techniques,2019,1,13
Advanced Numerical Analysis Techniques,2024,1,0
Advanced Numerical Methods in Computational Mathematics,2012,1,148
Advanced Numerical Methods in Computational Mathematics,2013,1,72
Advanced Numerical Methods in Computational Mathematics,2014,3,53
Advanced Numerical Methods in Computational Mathematics,2016,2,13
Advanced Numerical Methods in Computational Mathematics,2017,1,0
Advanced Numerical Methods in Computational Mathematics,2018,1,2
Advanced Numerical Methods in Computational Mathematics,2019,1,2
Advanced Numerical Methods in Computational Mathematics,2020,4,32
Advanced Numerical Methods in Computational Mathematics,2021,1,3
Advanced Numerical Methods in Computational Mathematics,2022,6,32
Advanced Numerical Methods in Computational Mathematics,2023,3,15
Advanced Numerical Methods in Computational Mathematics,2024,1,0
Advanced Optical Network Technologies,2010,1,0
Advanced oxidation water treatment,2006,1,57
Advanced oxidation water treatment,2010,1,18
Advanced oxidation water treatment,2013,1,6
Advanced oxidation water treatment,2014,3,81
Advanced oxidation water treatment,2015,2,12
Advanced oxidation water treatment,2017,1,16
Advanced oxidation water treatment,2018,1,28
Advanced oxidation water treatment,2019,1,51
Advanced oxidation water treatment,2020,1,25
Advanced oxidation water treatment,2021,1,13
Advanced oxidation water treatment,2023,1,1
Advanced oxidation water treatment,2025,2,3
Advanced Photocatalysis Techniques,2002,1,419
Advanced Photocatalysis Techniques,2005,2,157
Advanced Photocatalysis Techniques,2006,1,57
Advanced Photocatalysis Techniques,2008,1,1
Advanced Photocatalysis Techniques,2010,1,33
Advanced Photocatalysis Techniques,2012,1,86
Advanced Photocatalysis Techniques,2013,1,61
Advanced Photocatalysis Techniques,2014,1,22
Advanced Photocatalysis Techniques,2015,1,32
Advanced Photocatalysis Techniques,2016,5,508
Advanced Photocatalysis Techniques,2017,2,157
Advanced Photocatalysis Techniques,2018,4,119
Advanced Photocatalysis Techniques,2019,5,208
Advanced Photocatalysis Techniques,2020,5,166
Advanced Photocatalysis Techniques,2021,4,244
Advanced Photocatalysis Techniques,2022,2,28
Advanced Photocatalysis Techniques,2023,2,16
Advanced Photocatalysis Techniques,2024,7,64
Advanced Photocatalysis Techniques,2025,4,4
Advanced Photonic Communication Systems,2010,1,0
Advanced Physical and Chemical Molecular Interactions,2002,2,0
Advanced Physical and Chemical Molecular Interactions,2003,2,10
Advanced Physical and Chemical Molecular Interactions,2004,1,0
Advanced Physical and Chemical Molecular Interactions,2005,1,0
Advanced Physical and Chemical Molecular Interactions,2012,1,1
Advanced Physical and Chemical Molecular Interactions,2013,1,0
Advanced Physical and Chemical Molecular Interactions,2025,1,2
Advanced Polymer Synthesis and Characterization,2016,1,0
Advanced Polymer Synthesis and Characterization,2017,2,74
Advanced Polymer Synthesis and Characterization,2018,1,103
Advanced Polymer Synthesis and Characterization,2021,2,39
Advanced Polymer Synthesis and Characterization,2025,1,1
Advanced Power Generation Technologies,2024,1,2
Advanced Queuing Theory Analysis,2006,1,55
Advanced SAR Imaging Techniques,2025,1,0
Advanced Semiconductor Detectors and Materials,2025,2,0
Advanced Sensor and Control Systems,2015,1,0
Advanced Sensor and Energy Harvesting Materials,2005,1,15
Advanced Sensor and Energy Harvesting Materials,2012,1,17
Advanced Sensor and Energy Harvesting Materials,2019,2,47
Advanced Sensor and Energy Harvesting Materials,2020,1,133
Advanced Sensor and Energy Harvesting Materials,2022,1,52
Advanced Sensor and Energy Harvesting Materials,2023,1,4
Advanced Sensor and Energy Harvesting Materials,2024,1,7
Advanced Sensor Technologies Research,2014,1,9
Advanced Sensor Technologies Research,2017,1,41
Advanced Sensor Technologies Research,2018,1,0
Advanced Statistical Process Monitoring,2006,1,55
Advanced Theoretical and Applied Studies in Material Sciences and Geometry,2023,1,0
Advanced Thermodynamic Systems and Engines,2012,1,32
Advanced Thermodynamics and Statistical Mechanics,2013,1,36
Advanced Thermodynamics and Statistical Mechanics,2017,1,11
Advanced Thermodynamics and Statistical Mechanics,2018,2,67
Advanced Thermodynamics and Statistical Mechanics,2020,1,9
Advanced Thermoelectric Materials and Devices,2018,1,33
Advanced Thermoelectric Materials and Devices,2024,2,3
Advanced Wireless Communication Techniques,2008,1,1
Advanced Wireless Communication Techniques,2009,1,0
Advanced Wireless Network Optimization,2024,2,3
Advanced Wireless Network Optimization,2025,1,1
Advanced X-ray and CT Imaging,2021,1,17
Advanced X-ray and CT Imaging,2024,2,0
Advanced X-ray Imaging Techniques,2015,2,0
Advancements in Battery Materials,2003,1,0
Advancements in Battery Materials,2005,2,60
Advancements in Battery Materials,2016,1,610
Advancements in Battery Materials,2019,1,48
Advancements in Battery Materials,2022,1,1
Advancements in Battery Materials,2025,2,9
Advancements in PLL and VCO Technologies,2005,1,0
Advancements in PLL and VCO Technologies,2008,1,2
Advancements in Semiconductor Devices and Circuit Design,1987,1,7
Advancements in Solid Oxide Fuel Cells,2004,1,86
Advancements in Solid Oxide Fuel Cells,2005,1,22
Advancements in Solid Oxide Fuel Cells,2006,1,47
Advancements in Solid Oxide Fuel Cells,2008,3,42
Advancements in Solid Oxide Fuel Cells,2009,1,29
Advancements in Solid Oxide Fuel Cells,2010,2,50
Advancements in Solid Oxide Fuel Cells,2011,1,28
Advancements in Solid Oxide Fuel Cells,2013,2,12
Advancements in Solid Oxide Fuel Cells,2014,1,19
Advancements in Solid Oxide Fuel Cells,2015,5,114
Advancements in Solid Oxide Fuel Cells,2016,7,90
Advancements in Solid Oxide Fuel Cells,2017,3,2
Advancements in Solid Oxide Fuel Cells,2018,2,27
Advancements in Solid Oxide Fuel Cells,2024,1,3
Advancements in Transdermal Drug Delivery,2021,1,30
Aeolian processes and effects,2010,1,0
Aeolian processes and effects,2014,4,21
Aeolian processes and effects,2015,1,35
Aeolian processes and effects,2016,1,9
Aeolian processes and effects,2017,1,29
Aeolian processes and effects,2018,2,50
Aeolian processes and effects,2019,1,0
Aeolian processes and effects,2025,2,0
Aerodynamics and Fluid Dynamics Research,2020,1,1
Aerogels and thermal insulation,2018,1,0
Aerogels and thermal insulation,2025,1,1
Aerosol Filtration and Electrostatic Precipitation,2019,2,2
Aerosol Filtration and Electrostatic Precipitation,2020,1,1
Aerosol Filtration and Electrostatic Precipitation,2021,1,58
Aerosol Filtration and Electrostatic Precipitation,2023,1,12
Aerospace and Aviation Technology,2011,1,0
Aerospace and Aviation Technology,2015,1,0
Aerospace and Aviation Technology,2017,1,14
Aerospace Engineering and Control Systems,2013,1,16
Aerospace Engineering and Control Systems,2025,1,0
Aerospace Engineering and Energy Systems,2013,1,16
African Botany and Ecology Studies,2016,1,0
African history and culture analysis,2000,2,3
African history and culture analysis,2025,2,0
African Studies and Geopolitics,1998,1,0
"Aging, Elder Care, and Social Issues",1990,1,0
"Aging, Elder Care, and Social Issues",1991,2,0
"Aging, Elder Care, and Social Issues",1995,2,9
"Aging, Elder Care, and Social Issues",1996,2,0
"Aging, Elder Care, and Social Issues",1997,3,14
"Aging, Elder Care, and Social Issues",1998,1,0
"Aging, Elder Care, and Social Issues",2003,1,0
"Aging, Elder Care, and Social Issues",2004,2,0
"Aging, Elder Care, and Social Issues",2005,1,0
"Aging, Elder Care, and Social Issues",2007,1,1
"Aging, Elder Care, and Social Issues",2010,1,0
"Aging, Elder Care, and Social Issues",2012,2,2
"Aging, Elder Care, and Social Issues",2013,2,2
"Aging, Elder Care, and Social Issues",2014,1,0
"Aging, Elder Care, and Social Issues",2016,1,0
"Aging, Elder Care, and Social Issues",2021,1,0
"Aging, Elder Care, and Social Issues",2022,4,1
Agricultural Development and Management,2017,1,1
Agricultural Economics and Policy,2001,1,0
Agricultural Economics and Practices,2013,1,1
Agricultural Economics and Practices,2022,1,1
Agricultural Practices and Plant Genetics,2023,1,0
Agricultural Research and Practices,2024,1,0
Agricultural Science and Fertilization,2011,1,6
Agriculture and Agroindustry Studies,2020,1,20
Agriculture and Agroindustry Studies,2022,1,2
Agriculture and Agroindustry Studies,2024,1,0
Agriculture and Biological Studies,2023,1,0
Agriculture Sustainability and Environmental Impact,2021,1,16
"Agriculture, Soil, Plant Science",2009,1,0
AI in cancer detection,2024,1,2
Air Quality and Health Impacts,2017,1,21
Air Quality and Health Impacts,2018,1,2
Air Quality and Health Impacts,2020,2,37
Air Quality and Health Impacts,2021,1,3
Air Quality and Health Impacts,2023,1,3
Air Quality Monitoring and Forecasting,2013,1,6
Air Quality Monitoring and Forecasting,2020,2,37
Air Quality Monitoring and Forecasting,2024,1,0
Airway Management and Intubation Techniques,2009,1,16
Airway Management and Intubation Techniques,2010,2,134
Airway Management and Intubation Techniques,2011,1,3
Airway Management and Intubation Techniques,2012,2,5
Airway Management and Intubation Techniques,2013,3,22
Airway Management and Intubation Techniques,2014,2,26
Airway Management and Intubation Techniques,2015,1,168
Airway Management and Intubation Techniques,2016,2,61
Airway Management and Intubation Techniques,2017,4,40
Airway Management and Intubation Techniques,2020,2,8
Algal biology and biofuel production,2018,1,7
Algal biology and biofuel production,2020,3,119
Algal biology and biofuel production,2024,1,0
Algal biology and biofuel production,2025,2,0
Aluminum Alloy Microstructure Properties,2021,1,0
Alzheimer's disease research and treatments,2018,1,91
American Constitutional Law and Politics,2015,1,0
Amino Acid Enzymes and Metabolism,2004,1,1
Amino Acid Enzymes and Metabolism,2015,1,40
Ammonia Synthesis and Nitrogen Reduction,2002,1,9
Ammonia Synthesis and Nitrogen Reduction,2003,1,2
Ammonia Synthesis and Nitrogen Reduction,2016,1,0
Ammonia Synthesis and Nitrogen Reduction,2022,1,3
Ammonia Synthesis and Nitrogen Reduction,2024,3,44
Ammonia Synthesis and Nitrogen Reduction,2025,2,4
Anaerobic Digestion and Biogas Production,2011,1,30
Anaerobic Digestion and Biogas Production,2022,1,3
Anaerobic Digestion and Biogas Production,2023,1,34
Anaerobic Digestion and Biogas Production,2024,1,6
Anaerobic Digestion and Biogas Production,2025,1,3
Analog and Mixed-Signal Circuit Design,2004,1,3
Analog and Mixed-Signal Circuit Design,2005,1,0
Analog and Mixed-Signal Circuit Design,2007,1,0
Analog and Mixed-Signal Circuit Design,2008,1,2
Analog and Mixed-Signal Circuit Design,2010,1,1
Analog and Mixed-Signal Circuit Design,2011,1,1
Analog and Mixed-Signal Circuit Design,2014,1,0
Analog and Mixed-Signal Circuit Design,2024,1,4
Analytical Chemistry and Chromatography,1995,2,21
Analytical Chemistry and Chromatography,1996,1,12
Analytical Chemistry and Chromatography,1998,1,24
Analytical Chemistry and Chromatography,1999,2,314
Analytical Chemistry and Chromatography,2001,1,23
Analytical Chemistry and Chromatography,2005,2,27
Analytical Chemistry and Chromatography,2011,1,25
Analytical Chemistry and Chromatography,2017,1,26
Analytical Chemistry and Chromatography,2021,1,0
Analytical Chemistry and Chromatography,2024,1,0
Analytical Chemistry and Chromatography,2025,2,2
Analytical Chemistry and Sensors,2003,1,7
Analytical Chemistry and Sensors,2005,1,15
Analytical Chemistry and Sensors,2009,2,13
Analytical Chemistry and Sensors,2010,1,1
Analytical Chemistry and Sensors,2012,1,1
Analytical Chemistry and Sensors,2013,1,18
Analytical Chemistry and Sensors,2014,1,7
Analytical Chemistry and Sensors,2015,1,12
Analytical Chemistry and Sensors,2016,1,0
Analytical Chemistry and Sensors,2018,1,0
Analytical Chemistry and Sensors,2020,1,35
Analytical Chemistry and Sensors,2022,1,20
Analytical Chemistry and Sensors,2023,5,27
Analytical Chemistry and Sensors,2025,1,2
Analytical chemistry methods development,2000,1,2
Analytical chemistry methods development,2002,1,23
Analytical chemistry methods development,2007,1,3
Analytical chemistry methods development,2008,1,9
Analytical chemistry methods development,2009,2,13
Analytical chemistry methods development,2010,1,1
Analytical chemistry methods development,2011,3,57
Analytical chemistry methods development,2012,1,17
Analytical chemistry methods development,2015,1,0
Analytical chemistry methods development,2018,1,14
Analytical chemistry methods development,2024,3,4
Analytical chemistry methods development,2025,1,2
Analytical Methods in Pharmaceuticals,1994,1,8
Analytical Methods in Pharmaceuticals,2000,1,0
Analytical Methods in Pharmaceuticals,2011,1,25
Analytical Methods in Pharmaceuticals,2013,1,9
Ancient and Medieval Archaeology Studies,1993,1,2
Ancient and Medieval Archaeology Studies,1998,1,0
Ancient and Medieval Archaeology Studies,2005,1,0
Ancient and Medieval Archaeology Studies,2012,1,0
Ancient and Medieval Archaeology Studies,2018,1,0
Ancient and Medieval Archaeology Studies,2023,1,0
Ancient and Medieval Archaeology Studies,2024,1,1
Anesthesia and Neurotoxicity Research,2009,2,242
Anesthesia and Neurotoxicity Research,2010,1,115
Anesthesia and Neurotoxicity Research,2011,1,3
Anesthesia and Neurotoxicity Research,2012,1,0
Anesthesia and Neurotoxicity Research,2014,1,61
Anesthesia and Neurotoxicity Research,2015,4,378
Anesthesia and Neurotoxicity Research,2016,3,89
Anesthesia and Neurotoxicity Research,2017,1,3
Anesthesia and Neurotoxicity Research,2018,1,24
Anesthesia and Neurotoxicity Research,2020,4,77
Anesthesia and Neurotoxicity Research,2021,1,3
Anesthesia and Neurotoxicity Research,2022,1,29
Anesthesia and Pain Management,2009,1,45
Anesthesia and Pain Management,2010,1,112
Anesthesia and Pain Management,2017,1,34
Anesthesia and Pain Management,2018,1,0
Anesthesia and Pain Management,2019,1,0
Anesthesia and Pain Management,2020,1,0
Anesthesia and Pain Management,2025,1,0
Anesthesia and Sedative Agents,2008,1,29
Anesthesia and Sedative Agents,2009,3,271
Anesthesia and Sedative Agents,2010,3,246
Anesthesia and Sedative Agents,2011,2,6
Anesthesia and Sedative Agents,2012,1,0
Anesthesia and Sedative Agents,2013,2,93
Anesthesia and Sedative Agents,2014,3,71
Anesthesia and Sedative Agents,2015,4,378
Anesthesia and Sedative Agents,2016,4,146
Anesthesia and Sedative Agents,2017,5,143
Anesthesia and Sedative Agents,2018,2,123
Anesthesia and Sedative Agents,2020,5,86
Anesthesia and Sedative Agents,2021,1,3
Anesthesia and Sedative Agents,2022,1,29
Anesthesia and Sedative Agents,2025,1,0
Animal Behavior and Reproduction,2020,1,9
Animal Behavior and Welfare Studies,1996,1,28
Animal Behavior and Welfare Studies,2000,1,104
Animal Diversity and Health Studies,2019,1,0
Animal Ecology and Behavior Studies,1984,1,21
Animal Ecology and Behavior Studies,2017,1,1
Animal Genetics and Reproduction,1996,1,22
Anomaly Detection Techniques and Applications,2015,1,1
Anomaly Detection Techniques and Applications,2018,1,3
Anomaly Detection Techniques and Applications,2019,1,19
Anomaly Detection Techniques and Applications,2021,1,0
Anomaly Detection Techniques and Applications,2024,3,21
Anomaly Detection Techniques and Applications,2025,2,20
Antenna Design and Analysis,2025,1,1
Antenna Design and Optimization,2025,1,1
Antibiotic Resistance in Bacteria,2018,1,0
Antibiotic Resistance in Bacteria,2020,1,2
Antibiotics Pharmacokinetics and Efficacy,2008,1,29
Antibiotics Pharmacokinetics and Efficacy,2018,2,99
Antimicrobial Peptides and Activities,2005,1,27
Antimicrobial Peptides and Activities,2007,1,6
Antimicrobial Peptides and Activities,2013,1,3
Antimicrobial Resistance in Staphylococcus,2024,1,1
Antioxidant Activity and Oxidative Stress,2015,2,20
Aortic Disease and Treatment Approaches,2019,1,0
Aquatic and Environmental Studies,2023,1,0
Aquatic Ecosystems and Biodiversity,2008,1,1
Aquatic Ecosystems and Biodiversity,2010,1,11
Aquatic Ecosystems and Phytoplankton Dynamics,2008,3,49
Aquatic Ecosystems and Phytoplankton Dynamics,2010,1,11
Aquatic Ecosystems and Phytoplankton Dynamics,2012,1,43
Aquatic Ecosystems and Phytoplankton Dynamics,2015,1,51
Aquatic Ecosystems and Phytoplankton Dynamics,2018,1,2
Aquatic Invertebrate Ecology and Behavior,2010,1,14
Aquatic Invertebrate Ecology and Behavior,2013,1,0
Aquatic Invertebrate Ecology and Behavior,2022,1,0
Archaeological and Geological Studies,2023,1,0
Archaeological and Geological Studies,2025,1,0
Archaeological and Historical Studies,2007,1,96
Archaeological and Historical Studies,2025,1,0
Archaeology and ancient environmental studies,2002,2,257
